x,y
Heard County,GA,316, 65
Henry County,GA,324, 66
Houston County,GA,328, 58
Irwin County,GA,331, 51
Jackson County,GA,329, 72
Jasper County,GA,328, 65
Jeff Davis County,GA,336, 53
Jefferson County,GA,338, 63
Jenkins County,GA,342, 61
Johnson County,GA,336, 60
Jones County,GA,329, 63
Lamar County,GA,324, 63
Lanier County,GA,333, 47
Laurens County,GA,334, 58
Lee County,GA,324, 53
Liberty County,GA,345, 53
Lincoln County,GA,338, 69
Long County,GA,344, 53
Lowndes County,GA,331, 45
Lumpkin County,GA,325, 75
McDuffie County,GA,338, 66
McIntosh County,GA,346, 51
Macon County,GA,325, 57
Madison County,GA,332, 72
Marion County,GA,321, 57
Meriwether County,GA,320, 63
Miller County,GA,320, 48
Mitchell County,GA,324, 48
Monroe County,GA,326, 63
Montgomery County,GA,337, 56
Morgan County,GA,330, 67
Murray County,GA,320, 77
Muscogee County,GA,318, 59
Newton County,GA,327, 67
Oconee County,GA,330, 69
Oglethorpe County,GA,333, 70
Paulding County,GA,319, 70
Peach County,GA,327, 59
Pickens County,GA,322, 74
Pierce County,GA,340, 49
Pike County,GA,322, 63
Polk County,GA,316, 71
Pulaski County,GA,330, 56
Putnam County,GA,331, 65
Quitman County,GA,317, 53
Rabun County,GA,330, 78
Randolph County,GA,319, 53
Richmond County,GA,341, 65
Rockdale County,GA,325, 68
Schley County,GA,323, 57
Screven County,GA,345, 61
Seminole County,GA,319, 46
Spalding County,GA,323, 65
Stephens County,GA,331, 75
Stewart County,GA,319, 55
Sumter County,GA,324, 55
Talbot County,GA,321, 60
Taliaferro County,GA,334, 67
Tattnall County,GA,341, 55
Taylor County,GA,324, 59
Telfair County,GA,334, 54
Terrell County,GA,322, 53
Thomas County,GA,326, 45
Tift County,GA,329, 50
Toombs County,GA,339, 55
Towns County,GA,328, 78
Treutlen County,GA,337, 58
Troup County,GA,317, 63
Turner County,GA,329, 52
Twiggs County,GA,330, 60
Union County,GA,326, 77
Upson County,GA,323, 62
Walker County,GA,315, 76
Walton County,GA,328, 69
Ware County,GA,338, 47
Warren County,GA,336, 66
Washington County,GA,335, 62
Wayne County,GA,342, 51
Webster County,GA,321, 55
Wheeler County,GA,336, 55
White County,GA,328, 76
Whitfield County,GA,318, 77
Wilcox County,GA,330, 54
Wilkes County,GA,336, 69
Wilkinson County,GA,332, 61
Worth County,GA,327, 51
Ada County,ID, 68,146
Adams County,ID, 66,158
Bannock County,ID,100,140
Bear Lake County,ID,107,137
Benewah County,ID, 64,176
Bingham County,ID, 98,144
Blaine County,ID, 86,146
Boise County,ID, 72,150
Bonner County,ID, 65,185
Bonneville County,ID,105,146
Boundary County,ID, 66,189
Butte County,ID, 92,148
Camas County,ID, 79,146
Canyon County,ID, 64,147
Caribou County,ID,105,141
Cassia County,ID, 89,137
Clark County,ID, 99,153
Clearwater County,ID, 72,172
Custer County,ID, 83,152
Elmore County,ID, 74,145
Franklin County,ID,103,136
Fremont County,ID,106,152
Gem County,ID, 66,151
Gooding County,ID, 79,142
Idaho County,ID, 74,165
Jefferson County,ID, 99,149
Jerome County,ID, 83,140
Kootenai County,ID, 64,180
Latah County,ID, 64,173
Lemhi County,ID, 86,158
Lewis County,ID, 66,168
Lincoln County,ID, 84,143
Madison County,ID,104,149
Minidoka County,ID, 88,141
Nez Perce County,ID, 63,169
Oneida County,ID, 97,136
Owyhee County,ID, 68,139
Payette County,ID, 63,151
Power County,ID, 95,140
Shoshone County,ID, 70,177
Teton County,ID,108,149
Twin Falls County,ID, 80,137
Valley County,ID, 73,157
Washington County,ID, 63,154
Adams County,IL,268,118
Alexander County,IL,283, 96
Bond County,IL,282,110
Boone County,IL,287,137
Brown County,IL,271,118
Bureau County,IL,281,130
Calhoun County,IL,272,112
Carroll County,IL,278,135
Cass County,IL,276,118
Champaign County,IL,292,120
Christian County,IL,283,115
Clark County,IL,295,113
Clay County,IL,290,109
Clinton County,IL,282,107
Coles County,IL,292,115
Cook County,IL,295,133
Crawford County,IL,295,111
Cumberland County,IL,292,113
DeKalb County,IL,287,134
De Witt County,IL,286,120
Douglas County,IL,292,117
DuPage County,IL,293,133
Edgar County,IL,296,116
Edwards County,IL,293,106
Effingham County,IL,289,111
Fayette County,IL,285,111
Ford County,IL,292,123
Franklin County,IL,286,102
Fulton County,IL,276,122
Gallatin County,IL,292,101
Greene County,IL,274,113
Grundy County,IL,290,129
Hamilton County,IL,289,103
Hancock County,IL,268,122
Hardin County,IL,291, 99
Henderson County,IL,270,125
Henry County,IL,276,129
Iroquois County,IL,295,124
Jackson County,IL,282,101
Jasper County,IL,292,111
Jefferson County,IL,286,105
Jersey County,IL,275,111
Jo Daviess County,IL,276,137
Johnson County,IL,286, 98
Kane County,IL,290,134
Kankakee County,IL,295,128
Kendall County,IL,290,131
Knox County,IL,276,126
Lake County,IL,293,137
La Salle County,IL,286,129
Lawrence County,IL,296,108
Lee County,IL,283,132
Livingston County,IL,289,126
Logan County,IL,283,119
McDonough County,IL,272,122
McHenry County,IL,290,137
McLean County,IL,287,122
Macon County,IL,286,117
Macoupin County,IL,278,113
Madison County,IL,278,109
Marion County,IL,286,108
Marshall County,IL,283,127
Mason County,IL,278,120
Massac County,IL,288, 96
Menard County,IL,279,119
Mercer County,IL,272,128
Monroe County,IL,276,105
Montgomery County,IL,282,112
Morgan County,IL,276,116
Moultrie County,IL,289,116
Ogle County,IL,283,135
Peoria County,IL,279,125
Perry County,IL,283,103
Piatt County,IL,289,119
Pike County,IL,270,115
Pope County,IL,289, 98
Pulaski County,IL,284, 96
Putnam County,IL,283,128
Randolph County,IL,279,103
Richland County,IL,293,108
Rock Island County,IL,273,130
Saint Clair County,IL,278,106
Saline County,IL,289,101
Sangamon County,IL,280,117
Schuyler County,IL,273,120
Scott County,IL,274,116
Shelby County,IL,287,114
Stark County,IL,279,127
Stephenson County,IL,280,137
Tazewell County,IL,281,123
Union County,IL,283, 98
Vermilion County,IL,296,120
Wabash County,IL,295,106
Warren County,IL,273,125
Washington County,IL,282,105
Wayne County,IL,290,106
White County,IL,292,103
Whiteside County,IL,278,133
Will County,IL,294,130
Williamson County,IL,286,100
Winnebago County,IL,284,137
Woodford County,IL,284,125
Adams County,IN,318,124
Allen County,IN,317,127
Bartholomew County,IN,310,112
Benton County,IN,299,123
Blackford County,IN,315,122
Boone County,IN,306,119
Brown County,IN,308,112
Carroll County,IN,305,123
Cass County,IN,307,125
Clark County,IN,312,106
Clay County,IN,301,114
Clinton County,IN,306,121
Crawford County,IN,306,105
Daviess County,IN,301,108
Dearborn County,IN,318,112
Decatur County,IN,313,113
DeKalb County,IN,318,130
Delaware County,IN,314,120
Dubois County,IN,302,105
Elkhart County,IN,311,131
Fayette County,IN,316,116
Floyd County,IN,310,105
Fountain County,IN,300,119
Franklin County,IN,317,114
Fulton County,IN,307,127
Gibson County,IN,297,105
Grant County,IN,312,123
Greene County,IN,302,111
Hamilton County,IN,309,119
Hancock County,IN,311,117
Harrison County,IN,309,104
Hendricks County,IN,305,117
Henry County,IN,314,118
Howard County,IN,309,122
Huntington County,IN,314,125
Jackson County,IN,309,110
Jasper County,IN,301,127
Jay County,IN,317,122
Jefferson County,IN,314,109
Jennings County,IN,312,110
Johnson County,IN,309,114
Knox County,IN,298,108
Kosciusko County,IN,311,128
LaGrange County,IN,314,132
Lake County,IN,298,130
LaPorte County,IN,304,131
Lawrence County,IN,306,109
Madison County,IN,312,120
Marion County,IN,308,117
Marshall County,IN,307,129
Martin County,IN,303,108
Miami County,IN,309,125
Monroe County,IN,305,112
Montgomery County,IN,302,119
Morgan County,IN,306,114
Newton County,IN,298,126
Noble County,IN,314,130
Ohio County,IN,318,110
Orange County,IN,306,107
Owen County,IN,303,113
Parke County,IN,300,117
Perry County,IN,304,103
Pike County,IN,300,106
Porter County,IN,301,130
Posey County,IN,295,103
Pulaski County,IN,304,127
Putnam County,IN,303,116
Randolph County,IN,317,120
Ripley County,IN,315,111
Rush County,IN,314,115
Saint Joseph County,IN,307,131
Scott County,IN,312,108
Shelby County,IN,311,115
Spencer County,IN,301,103
Starke County,IN,304,129
Steuben County,IN,317,132
Sullivan County,IN,298,111
Switzerland County,IN,317,109
Tippecanoe County,IN,302,122
Tipton County,IN,309,121
Union County,IN,318,116
Vanderburgh County,IN,297,103
Vermillion County,IN,298,117
Vigo County,IN,298,114
Wabash County,IN,311,125
Warren County,IN,299,121
Warrick County,IN,299,103
Washington County,IN,309,107
Wayne County,IN,317,117
Wells County,IN,316,124
White County,IN,303,124
Whitley County,IN,313,128
Adair County,IA,242,129
Adams County,IA,240,127
Allamakee County,IA,266,145
Appanoose County,IA,255,124
Audubon County,IA,238,132
Benton County,IA,261,135
Black Hawk County,IA,259,138
Boone County,IA,246,135
Bremer County,IA,259,141
Buchanan County,IA,263,138
Buena Vista County,IA,236,140
Butler County,IA,255,140
Calhoun County,IA,240,138
Carroll County,IA,239,135
Cass County,IA,238,129
Cedar County,IA,268,133
Cerro Gordo County,IA,251,143
Cherokee County,IA,233,140
Chickasaw County,IA,259,143
Clarke County,IA,247,127
Clay County,IA,236,143
Clayton County,IA,267,141
Clinton County,IA,273,134
Crawford County,IA,234,135
Dallas County,IA,245,132
Davis County,IA,258,124
Decatur County,IA,247,124
Delaware County,IA,267,138
Des Moines County,IA,268,126
Dickinson County,IA,236,146
Dubuque County,IA,270,138
Emmet County,IA,240,146
Fayette County,IA,263,141
Floyd County,IA,255,143
Franklin County,IA,251,140
Fremont County,IA,233,124
Greene County,IA,242,135
Grundy County,IA,255,138
Guthrie County,IA,241,132
Hamilton County,IA,248,138
Hancock County,IA,248,143
Hardin County,IA,252,138
Harrison County,IA,231,132
Henry County,IA,265,126
Howard County,IA,259,145
Humboldt County,IA,244,141
Ida County,IA,233,138
Iowa County,IA,261,132
Jackson County,IA,273,136
Jasper County,IA,253,132
Jefferson County,IA,262,127
Johnson County,IA,265,132
Jones County,IA,268,135
Keokuk County,IA,260,129
Kossuth County,IA,244,144
Lee County,IA,266,124
Linn County,IA,265,135
Louisa County,IA,267,128
Lucas County,IA,251,127
Lyon County,IA,228,146
Madison County,IA,245,129
Mahaska County,IA,256,129
Marion County,IA,253,129
Marshall County,IA,254,135
Mills County,IA,233,127
Mitchell County,IA,255,145
Monona County,IA,230,135
Monroe County,IA,255,127
Montgomery County,IA,236,127
Muscatine County,IA,269,130
O'Brien County,IA,233,143
Osceola County,IA,233,146
Page County,IA,236,124
Palo Alto County,IA,240,143
Plymouth County,IA,228,140
Pocahontas County,IA,240,140
Polk County,IA,249,132
Pottawattamie County,IA,233,129
Poweshiek County,IA,257,132
Ringgold County,IA,244,124
Sac County,IA,237,138
Scott County,IA,273,132
Shelby County,IA,235,132
Sioux County,IA,228,143
Story County,IA,250,135
Tama County,IA,257,135
Taylor County,IA,240,124
Union County,IA,244,127
Van Buren County,IA,262,125
