code,lat,lon,elev,state,name,x,y
USC00314464,35.1858,-79.6772,222.5,NC,JACKSON SPRINGS 5 WNW,360,80
USC00314496,36.4161,-81.4286,844.3,NC,JEFFERSON 2 E,346,90
USC00314860,34.7508,-79.4664,64,NC,LAURINBURG,362,77
USC00314938,35.915,-81.5378,365.8,NC,LENOIR,345,86
USC00314970,35.8458,-80.2597,231.6,NC,LEXINGTON,355,85
USC00314996,35.4606,-81.3289,274.3,NC,LINCOLNTON 4 W,347,82
USC00315116,34.0103,-78.545,12.2,NC,LONGWOOD,369,71
USC00315123,36.1028,-78.3039,79.2,NC,LOUISBURG,371,87
USC00315356,35.8036,-82.6658,609.6,NC,MARSHALL,336,85
USC00315743,35.8439,-80.4972,244.4,NC,MOCKSVILLE 5SE,354,85
USC00315771,34.9797,-80.5233,167.6,NC,MONROE 2 SE,353,78
USC00315890,36.4992,-80.6508,317.3,NC,MT AIRY 2 W,352,90
USC00315923,35.7586,-82.2711,1902,NC,MT MITCHELL,339,85
USC00316256,36.1631,-81.1494,341.4,NC,NORTH WILKESBORO,348,88
USC00316341,35.5261,-83.3089,621.8,NC,OCONALUFTEE,331,83
USC00316853,35.8722,-76.6592,6.1,NC,PLYMOUTH 5 E,384,85
USC00317074,35.7294,-78.6839,128,NC,RALEIGH 4 SW,368,84
USC00317202,36.3825,-79.6947,271.3,NC,REIDSVILLE 2 NW,360,90
USC00317615,35.6836,-80.4822,213.4,NC,SALISBURY,354,84
USC00317618,35.6967,-80.6228,251.5,NC,SALISBURY 9 WNW,353,84
USC00317656,35.5347,-79.0464,79.9,NC,SANFORD 8 NE,365,83
USC00317994,35.5164,-78.3458,45.7,NC,SMITHFIELD,371,83
USC00318292,35.81,-80.8808,289.6,NC,STATESVILLE 2 NNE,350,85
USC00318694,36.3919,-81.3039,876.3,NC,TRANSOU,347,90
USC00318744,35.2058,-82.2517,365.8,NC,TRYON,339,80
USC00318964,34.9603,-80.0772,146.3,NC,WADESBORO,357,78
USC00319123,35.7742,-83.0981,438.9,NC,WATERVILLE 2,333,85
USC00319147,35.4867,-82.9683,810.2,NC,WAYNESVILLE 1 E,334,82
USC00319423,34.6611,-78.0456,16.8,NC,WILLARD 4 SW,373,76
USC00319440,35.8528,-77.0306,6.1,NC,WILLIAMSTON 1 E,381,85
USC00319467,34.3208,-77.9206,12.2,NC,WILMINGTON 7 N,374,73
USC00319476,35.6939,-77.9456,33.5,NC,WILSON 3 SW,374,84
USC00319555,36.1308,-81.2275,326.1,NC,W KERR SCOTT RSVR,348,88
USC00319675,36.1306,-80.5481,266.7,NC,YADKINVILLE 6 E,353,88
USC00320382,46.0406,-99.3742,613.9,ND,ASHLEY,203,167
USC00320941,48.8217,-100.452,493.5,ND,BOTTINEAU,194,189
USC00320995,46.1825,-103.406,908.3,ND,BOWMAN,170,168
USC00321435,48.8628,-97.7014,271.3,ND,CAVALIER 7NW,216,189
USC00321766,47.405,-98.0381,420.6,ND,COOPERSTOWN,213,178
USC00321871,48.9075,-103.294,595,ND,CROSBY,171,190
USC00322188,46.8911,-102.811,749.8,ND,DICKINSON EXP STN,175,174
USC00322193,47.1944,-102.841,725.4,ND,DICKINSON RCH HQ,175,176
USC00322304,48.0475,-100.31,466.3,ND,DRAKE 9 NE,195,183
USC00322525,48.4267,-98.47,467.9,ND,EDMORE 1NW,210,186
USC00322809,47.1906,-103.225,838.2,ND,FAIRFIELD,172,176
USC00323117,46.0333,-97.595,381,ND,FORMAN 5 SSE,217,167
USC00323196,48.9081,-103.806,716.3,ND,FORTUNA 1 W,167,190
USC00323287,46.1581,-98.4,437.4,ND,FULLERTON 1 ESE,210,168
USC00323376,47.6539,-101.42,588.9,ND,GARRISON,186,180
USC00323963,48.9989,-99.3464,469.4,ND,HANSBORO 4 NNE,203,190
USC00324418,46.8844,-98.685,447.1,ND,JAMESTOWN STATE HOSP,208,174
USC00324571,47.8967,-102.921,752.9,ND,KEENE 3S,174,182
USC00324646,48.6692,-102.098,551.7,ND,KENMARE 1 WSW,181,188
USC00324937,46.3547,-98.2928,401.1,ND,LA MOURE,211,169
USC00324958,48.7622,-98.3447,492.3,ND,LANGDON EXP FARM,211,189
USC00325479,46.8128,-100.91,533.4,ND,MANDAN EXP STN,190,173
USC00325710,47.4825,-100.444,587.3,ND,MC CLUSKY,194,178
USC00325730,47.5808,-98.6422,474,ND,MC HENRY 3W,208,179
