code,lat,lon,state,name,x,y
USC00054770,38.0936,-102.631,1105.5,CO,LAMAR,176,103
USC00054834,38.0636,-103.215,1185.7,CO,LAS ANIMAS,172,103
USC00054934,37.3769,-107.656,2549.7,CO,LEMON DAM,136,98
USC00054945,40.4897,-103.082,1386.8,CO,LEROY 9 WSW,173,122
USC00055531,37.1986,-108.488,2160.1,CO,MESA VERDE NP,130,96
USC00055722,38.4858,-107.879,1764.5,CO,MONTROSE 2,134,106
USC00056136,38.53,-103.706,1453,CO,ORDWAY 21 N,168,107
USC00056266,39.1136,-108.351,1448.1,CO,PALISADE,131,111
USC00056306,38.8522,-107.624,1699.6,CO,PAONIA 1 SW,137,109
USC00056765,38.2597,-104.717,1479.8,CO,PUEBLO RSVR,160,105
USC00056816,39.8297,-105.235,1798.3,CO,RALSTON RSVR,156,117
USC00056832,40.0894,-108.772,1610.9,CO,RANGELY 1 E,127,119
USC00057167,38.0392,-103.693,1271,CO,ROCKY FORD 2 SE,168,103
USC00057460,38.4039,-106.424,2578.6,CO,SARGENTS,146,106
USC00057510,39.4036,-104.952,1821.2,CO,SEDALIA 4 SSE,158,114
USC00057515,40.8592,-102.517,1216.2,CO,SEDGWICK 5 S,177,125
USC00058157,38.3422,-104.057,1488,CO,TACONY 13 SE,165,105
USC00058184,38.8183,-106.609,2797.8,CO,TAYLOR PARK,145,109
USC00058204,37.9492,-107.874,2635.6,CO,TELLURIDE 4WNW,135,102
USC00058560,38.3761,-108.742,1530.4,CO,URAVAN,128,106
USC00058756,40.7442,-106.279,2455.5,CO,WALDEN,147,124
USC00058781,37.6303,-104.796,1920.2,CO,WALSENBURG 1 NW,159,100
USC00058793,37.3822,-102.299,1212.5,CO,WALSH 1 W,179,98
USC00058995,39.775,-105.117,1645.3,CO,WHEAT RIDGE 2,157,117
USC00059096,40.0375,-106.204,2322,CO,WILLIAMS FORK DAM,148,119
USC00059265,40.1561,-106.909,2394.8,CO,YAMPA,142,120
USC00060299,41.9211,-72.9644,214.9,CT,BARKHAMSTED,414,134
USC00062658,41.95,-73.3667,167.6,CT,FALLS VILLAGE,411,134
USC00063207,41.3511,-72.0389,12.2,CT,GROTON,421,130
USC00065445,41.9725,-73.2208,408.4,CT,NORFOLK 2 SW,412,134
USC00065910,41.5269,-72.0642,6.1,CT,NORWICH PUB UTIL PLT,421,131
USC00069775,41.5536,-73.2297,198.1,CT,WOODBURY,412,131
USC00072730,39.2583,-75.5167,9.1,DE,DOVER,393,113
USC00079605,39.7739,-75.5414,82.3,DE,WILMINGTON PORTER RES,393,117
USC00080236,27.1819,-81.3508,42.7,FL,ARCHBOLD BIO STN,347,16
USC00080369,27.5947,-81.5267,46.9,FL,AVON PARK 2 W,345,19
USC00080945,27.4467,-82.5014,6.1,FL,BRADENTON 5 ESE,337,18
USC00081276,26.8639,-80.6256,9.1,FL,CANAL POINT USDA,353,13
USC00081544,30.7836,-85.4847,39.6,FL,CHIPLEY,314,45
USC00082229,29.0181,-81.3106,7.6,FL,DELAND 1 SSE,347,31
USC00082288,27.3697,-81.5136,25.9,FL,DESOTO CITY 8 SW,345,17
USC00082944,30.6589,-81.4636,4,FL,FERNANDINA BEACH,345,44
USC00083163,26.1019,-80.2011,4.9,FL,FT LAUDERDALE,356,7
USC00083207,27.4417,-80.3508,7.6,FL,FT PIERCE,355,18
USC00083874,29.7653,-81.4697,3,FL,HASTINGS 4NE,346,37
USC00083956,29.8286,-82.5972,19.8,FL,HIGH SPRINGS,337,37
USC00084289,28.8028,-82.3125,12.2,FL,INVERNESS 3 SE,339,29
USC00084366,30.2875,-81.3928,3,FL,JACKSONVILLE BEACH,346,41
USC00084394,30.5228,-82.9447,44.8,FL,JASPER,334,43
USC00084731,30.1853,-82.5942,59.4,FL,LAKE CITY 2 E,337,40
USC00085076,28.8728,-81.7844,20.7,FL,LISBON,343,29
USC00085275,30.4517,-83.4119,36.6,FL,MADISON,330,42
USC00085539,30.1064,-83.1819,19.8,FL,MAYO,332,39
USC00085895,26.84,-81.0872,10.7,FL,MOORE HAVEN LOCK 1,349,13
USC00085973,27.9378,-81.5992,38.1,FL,MTN LAKE,345,22
USC00086065,27.2417,-82.3161,6.1,FL,MYAKKA RIVER SP,339,16
USC00086406,25.8603,-81.0331,2.4,FL,OASIS RS,349,5
USC00086414,29.1636,-82.0778,22.9,FL,OCALA,341,32
USC00086842,30.2492,-85.6606,1.5,FL,PANAMA CITY 5N,312,40
USC00086880,27.6089,-82.3478,18.3,FL,PARRISH,339,19
USC00087025,30.0986,-83.5742,13.7,FL,PERRY,329,39
USC00087205,28.0236,-82.1422,36.6,FL,PLANT CITY,340,23
USC00087397,26.9164,-81.9983,6.1,FL,PUNTA GORDA 4 ESE,342,14
USC00087760,25.3867,-80.5936,2.1,FL,ROYAL PALM RS,353,2
USC00087826,29.8875,-81.2917,3.7,FL,ST AUGUSTINE LH,347,38
